	Borough	Postcode
1537	Manhattan	10019
1538	Queens	11377
1539	Queens	11103
1540	Manhattan	10014
1541	Bronx	7054
1542	Queens	11419
1543	Manhattan	10028
1544	Manhattan	10001
1545	Brooklyn	11201
1546	Queens	11354
1547	Brooklyn	11230
1548	Queens	11372
1549	Brooklyn	11217
1550	Brooklyn	11209
1551	Queens	11361
1552	Queens	11354
1553	Queens	11372
1554	Manhattan	10019
1555	Manhattan	10031
1556	Manhattan	10022
1557	Manhattan	10009
1558	Brooklyn	11238
1559	Manhattan	10128
1560	Bronx	10472
1561	Brooklyn	11209
1562	Manhattan	10012
1563	Manhattan	10003
1564	Manhattan	10019
1565	Staten Island	10312
1566	Queens	11368
1567	Manhattan	10014
1568	Manhattan	11229
1569	Manhattan	10025
1570	Bronx	10466
1571	Manhattan	10028
1572	Brooklyn	11219
1573	Manhattan	10002
1574	Brooklyn	11206
1575	Manhattan	10014
1576	Queens	11377
1577	Manhattan	10038
1578	Manhattan	10128
1579	Manhattan	10025
1580	Manhattan	10016
1581	Brooklyn	11212
1582	Brooklyn	11211
1583	Manhattan	10033
1584	Manhattan	10001
1585	Brooklyn	11220
1586	Manhattan	10012
1587	Brooklyn	11230
1588	Manhattan	10002
1589	Queens	11354
1590	Manhattan	10019
1591	Manhattan	10065
1592	Brooklyn	11215
1593	Brooklyn	11215
1594	Manhattan	10003
1595	Manhattan	10040
1596	Manhattan	10009
1597	Manhattan	10029
1598	Queens	11101
1599	Brooklyn	11207
1600	Brooklyn	11217
1601	Manhattan	10014
1602	Brooklyn	11201
1603	Queens	11375
1604	Queens	11375
1605	Manhattan	10019
1606	Manhattan	10012
1607	Manhattan	10002
1608	Manhattan	10022
1609	Manhattan	10040
1610	Brooklyn	11211
1611	Manhattan	10003
1612	Manhattan	10030
1613	Bronx	10452
1614	Manhattan	10011
1615	Queens	11373
1616	Staten Island	10301
1617	Manhattan	10012
1618	Manhattan	10023
1619	Brooklyn	11201
1620	Queens	11367
1621	Bronx	10457
1622	Manhattan	10016
1623	Manhattan	10017
1624	Manhattan	10009
1625	Brooklyn	11237
1626	Queens	11358
1627	Queens	11372
1628	Manhattan	10002
1629	Brooklyn	11231
1630	Brooklyn	11238
1631	Brooklyn	11229
1632	Manhattan	10013
1633	Bronx	10467
1634	Brooklyn	11238
1635	Manhattan	10033
1636	Manhattan	10032
1637	Brooklyn	11220
1638	Queens	11473
1639	Manhattan	10022
1640	Manhattan	10012
1641	Manhattan	10003
1642	Brooklyn	11205
1643	Queens	11694
1644	Manhattan	10011
1645	Brooklyn	11217
1646	Manhattan	10002
1647	Bronx	10472
1648	Brooklyn	11231
1649	Manhattan	10003
1650	Queens	11372
1651	Bronx	10452
1652	Queens	11378
1653	Manhattan	10014
1654	Manhattan	10024
1655	Brooklyn	11209
1656	Queens	11354
1657	Brooklyn	11238
1658	Manhattan	10025
1659	Queens	11102
1660	Brooklyn	11209
1661	Brooklyn	11236
1662	Brooklyn	11215
1663	Brooklyn	11223
1664	Manhattan	10011
1665	Manhattan	10016
1666	Manhattan	10009
1667	Manhattan	10012
1668	Queens	11106
1669	Manhattan	10039
1670	Manhattan	10003
1671	Manhattan	10002
1672	Brooklyn	11238
1673	Manhattan	10014
1674	Brooklyn	11222
1675	Manhattan	10016
1676	Manhattan	10025
1677	Manhattan	10002
1678	Queens	11363
1679	Brooklyn	11206
1680	Queens	11106
1681	Manhattan	10012
1682	Queens	11368
1683	Manhattan	10019
1684	Manhattan	11238
1685	Manhattan	10029
1686	Queens	11420
1687	Manhattan	10019
1688	Queens	11375
1689	Manhattan	10013
1690	Brooklyn	11201
1691	Queens	11040
1692	Manhattan	10003
1693	Queens	11354
1694	Brooklyn	11209
1695	Queens	11377
1696	Manhattan	10012
1697	Manhattan	10003
1698	Queens	11378
1699	Brooklyn	11231
1700	Manhattan	10016
1701	Manhattan	10034
1702	Brooklyn	11230
1703	Brooklyn	11209
1704	Brooklyn	11209
1705	Brooklyn	11218
1706	Queens	11361
1707	Bronx	10453
1708	Manhattan	10031
1709	Brooklyn	11220
1710	Manhattan	10021
1711	Manhattan	10028
1712	Queens	11105
1713	Queens	11354
1714	Staten Island	10308
1715	Queens	11101
1716	Brooklyn	11218
1717	Queens	11432
1718	Queens	11354
1719	Manhattan	10036
1720	Manhattan	10039
1721	Manhattan	10002
1722	Manhattan	10065
1723	Manhattan	10013
1724	Manhattan	10036
1725	Bronx	10968
1726	Queens	11103
1727	Brooklyn	11215
1728	Manhattan	10034
1729	Bronx	10461
1730	Manhattan	10010
