	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
114	7068557	JEFFERSON MOTORS INC	                    	24 ESSEX ST         	PETER HENRY         	                    	RS 	11/04/1998	05/15/2019	06/30/2021
115	7093105	JIFFY LUBE          	                    	1755 CENTRAL AV     	JIFFY LUBE VILLAGE  	LLC                 	RS 	08/22/2002	06/12/2020	07/31/2022
116	7105468	J&J PERLMANS INC    	                    	90 INDUSTRIAL PK RD 	JOHN F SWEETER      	                    	RS 	01/29/2008	12/30/2015	12/31/2017
117	7069237	J&K GARAGE          	                    	397 N PEARL ST      	KEVIN OBRIEN ETAL   	                    	RS 	12/28/1994	12/11/2018	11/30/2020
118	7119460	JN PHILLIPS COMPANY 	INC THE             	1845 CENTRAL AVE    	ROBERT J ROSENFIELD 	                    	RS 	05/13/2015	04/23/2019	04/30/2021
119	3010632	JOES OSBORNE ST GAR 	INC                 	191 OSBORNE ST      	JOSEPH D GIMONDO    	                    	RS 	02/10/1981	06/30/2020	07/31/2022
120	7086352	JOHN R MOTT INC     	                    	11 ACCESS RD        	GUY MAIKELS SR      	                    	RS 	12/05/2012	10/03/2017	11/30/2019
121	7121355	JP PHILLIPS GENERAL 	MOTORS LLC          	822 LIVINGSTON AVE  	JERRY AZIAKA        	                    	RS 	08/24/2016		07/31/2018
122	7090355	KARMA ALBANY        	                    	2056 CENTRAL AVENUE 	BUL AUTO SALES &    	SERVICE INC         	RS 	06/28/2001	03/08/2019	05/31/2021
123	7112225	KARNER AUTO SERVICE 	LLC                 	23 RIFLE RANGE ROAD 	ELBRIDGE J BUSHNELL 	                    	RS 	06/20/2011	04/26/2019	05/31/2021
124	7124675	KDS AUTO REPAIR     	                    	199 SHERMAN STREET  	CURTIS D BLACK SR   	                    	RS 	10/12/2018	09/24/2020	09/30/2022
125	7115736	KHAN & KHANS AUTO   	FIX INC             	409 CENTRAL AVENUE  	SHAHBAZ KHAN        	                    	RS 	04/03/2013	03/01/2019	03/31/2021
126	7110357	KING OF THE HILL INC	                    	71 FULLER ROAD      	STEVEN H HALSE      	                    	RS 	05/25/2010	03/17/2020	04/30/2022
127	3010713	KNIGHTONS AUTO      	SERVICES INC        	1820 CENTRAL AVENUE 	JOHN KNIGHTON       	                    	RSB	09/18/1984	09/03/2019	09/30/2021
128	7066937	KOST TIRE MUFFLER   	                    	1394 CENTRAL AV     	KOST TIRE           	DISTRIBUTORS INC    	RS 	06/02/1994	03/24/2014	05/31/2016
