	Facility #	Business Type
1021	7125512	RS 
1022	7116987	RSB
1023	7121456	RS 
1024	7021761	RS 
1025	7118714	RS 
1026	7094556	RS 
1027	7103356	RS 
1028	7106123	RS 
1029	7122526	RS 
1030	7115789	RS 
1031	7076899	RS 
1032	7127520	RSB
1033	7074475	RS 
1034	7124668	RS 
1035	7121080	RSB
1036	7115876	RSB
1037	7119436	RS 
1038	7118599	RS 
1039	7047035	RS 
1040	7104647	RS 
1041	7119846	RS 
1042	7111535	RS 
1043	7095320	RS 
1044	7110764	RS 
1045	7106344	RS 
1046	7104193	RS 
1047	7087925	RS 
1048	7126553	RS 
1049	7115839	RS 
1050	7061364	RS 
1051	7117080	RS 
1052	7118260	RSB
1053	7000262	RSB
1054	7111523	RS 
1055	7123429	RS 
1056	7116300	RS 
1057	7126426	RS 
1058	7119213	RS 
1059	7116529	RS 
1060	7100341	RS 
1061	7093753	RSB
1062	7113262	RS 
1063	7109884	RS 
1064	7122480	RS 
1065	7121139	RS 
1066	7124503	RS 
1067	7106957	RS 
1068	7127496	RSB
1069	7035814	RS 
1070	7114433	RS 
1071	7118653	RS 
1072	7124409	RS 
1073	7115668	RS 
1074	2030012	RS 
1075	7083566	RS 
1076	7111419	RSB
1077	7125625	RS 
1078	7119270	RS 
1079	7116159	RS 
1080	7040562	RSB
1081	7108223	RS 
1082	7117786	RS 
1083	7125005	RS 
1084	7126013	RS 
1085	7119196	RS 
1086	7103153	RS 
1087	7102725	RS 
1088	7116646	RS 
1089	7118100	RSB
1090	7121487	RS 
1091	7126108	RS 
1092	7107216	RS 
1093	7113016	RS 
1094	7117197	RS 
1095	7111229	RSB
1096	7125764	RSB
1097	7104031	RS 
1098	7125716	RS 
1099	7113575	RS 
1100	7102936	RS 
1101	7104574	RS 
1102	7124623	RS 
1103	7114456	RS 
1104	7116611	RSB
1105	7116557	RS 
1106	7125882	RS 
1107	7098264	RS 
1108	7115872	RS 
1109	7111935	RS 
1110	7119481	RS 
1111	7118771	RS 
1112	7119258	RS 
1113	7108884	RS 
1114	7038610	RSB
1115	7122416	RSB
1116	7108207	RS 
1117	7127232	RS 
1118	7120910	RS 
1119	7112868	RS 
1120	7104951	RS 
1121	7119037	RS 
1122	7126870	RS 
1123	7118885	RSB
1124	7113747	RSB
1125	2030960	RS 
1126	7124963	RS 
1127	7121339	RS 
1128	7108807	RS 
1129	7113405	RS 
1130	7090824	RS 
1131	7118543	RS 
1132	7103967	RS 
1133	2031357	RS 
1134	7098064	RS 
1135	7102294	RS 
1136	7115895	RS 
1137	7091681	RS 
1138	7120369	RS 
1139	7106287	RS 
1140	7085627	RSB
1141	7061687	RS 
1142	7124952	RS 
1143	7052751	RSB
1144	7113530	RS 
1145	7095394	RS 
1146	2031248	RS 
1147	7097567	RS 
1148	7059073	RS 
1149	7121093	RS 
1150	7117862	RS 
1151	7066060	RS 
1152	7110110	RS 
1153	7068006	RS 
1154	7124805	RS 
1155	7119459	RS 
1156	7070519	RS 
1157	7114334	RSB
1158	7114099	RS 
1159	7114700	RS 
1160	7112728	RS 
1161	7119756	RS 
1162	7116802	RS 
1163	7105990	RS 
1164	7123596	RS 
1165	7053264	RSB
1166	7113757	RS 
1167	7082861	RS 
1168	7117573	RS 
1169	7078565	RS 
1170	7111411	RS 
1171	7111381	RS 
1172	7097232	RS 
1173	7125264	RS 
1174	7124135	RS 
1175	7114379	RSB
1176	7102991	RS 
1177	7113835	RS 
1178	7115477	RS 
1179	7108068	RSB
1180	7126589	RSB
1181	7127290	RSB
1182	7067942	RS 
1183	7115298	RS 
1184	7113139	RS 
1185	7118080	RS 
1186	7103213	RS 
1187	7083530	RS 
1188	7031410	RS 
1189	7064046	RS 
1190	7089974	RS 
1191	7098130	RS 
1192	7119199	RS 
1193	7121392	RSB
1194	7125553	RS 
1195	7127198	RS 
1196	7122127	RSB
1197	7064916	RS 
1198	7122812	RS 
1199	7120208	RSB
1200	7120311	RS 
1201	7118779	RS 
1202	7087070	RS 
1203	7126531	RS 
1204	7122271	RSB
1205	7115068	RS 
1206	7116635	RS 
1207	7085712	RS 
1208	7102905	RS 
1209	7113102	RS 
1210	7107989	RS 
1211	7120442	RSB
1212	7094896	RS 
1213	7113582	RS 
1214	7070634	RS 
1215	7105365	RS 
1216	7122145	RS 
1217	7107876	RS 
1218	7121837	RSB
1219	7122503	RSB
1220	7109262	RS 
1221	7120242	RS 
1222	7115568	RS 
1223	7122762	RS 
1224	7099298	RS 
1225	7114323	RS 
1226	7111861	RSB
1227	7126363	RS 
1228	7080155	RS 
1229	7080320	RS 
1230	7119063	RS 
1231	7096458	RS 
1232	7117900	RS 
1233	7085297	RS 
1234	7125679	RSB
1235	7124617	RSB
1236	7106081	RSB
1237	2031462	RS 
1238	7069455	RS 
1239	7120114	RS 
1240	7116838	RS 
1241	7108405	RS 
1242	7092645	RS 
1243	7119754	RS 
1244	7125173	RSB
1245	7088562	RS 
1246	7085926	RS 
1247	7115275	RS 
1248	7099073	RS 
1249	7049600	RS 
1250	7122870	RS 
1251	7110458	RSB
1252	7111828	RS 
1253	7052299	RS 
1254	7112603	RS 
1255	7097265	RSB
1256	7115986	RS 
1257	7051921	RS 
1258	7089612	RS 
1259	7125901	RSB
1260	7123154	RS 
1261	2031030	RS 
1262	7112032	RS 
1263	7123164	RS 
1264	7113560	RS 
1265	7083270	RS 
1266	7000996	RS 
1267	7111896	RS 
1268	7067227	RS 
1269	2031354	RS 
1270	7109285	RS 
1271	7084827	RS 
1272	7112619	RS 
1273	7035376	RS 
1274	7119709	RS 
1275	7120688	RS 
1276	7110407	RS 
1277	7111942	RS 
1278	7095224	RS 
1279	7120955	RS 
1280	7121559	RS 
1281	7120033	RS 
1282	7127472	RSB
1283	7119506	RS 
1284	7108782	RSB
1285	7120437	RS 
1286	7087145	RS 
1287	7122334	RS 
1288	7117736	RS 
1289	7119927	RS 
1290	7118015	RS 
1291	7049140	RSB
1292	7068369	RS 
1293	7112912	RS 
1294	7126810	RSB
1295	7115755	RSB
1296	7125447	RS 
1297	7104587	RS 
1298	7116435	RS 
1299	2031022	RS 
1300	7109442	RS 
1301	7085342	RS 
1302	7099899	RS 
1303	7087991	RS 
1304	7118514	RS 
1305	7102356	RS 
1306	7117938	RS 
1307	7053004	RS 
1308	7123403	RS 
1309	7117906	RS 
1310	7125251	RS 
1311	7074924	RS 
1312	7123647	RSB
1313	7119672	RSB
1314	7121985	RS 
1315	7108566	RS 
1316	7107905	RS 
1317	7121687	RS 
1318	7123918	RS 
1319	7109141	RS 
1320	7126137	RS 
1321	7097160	RS 
1322	7119986	RS 
1323	7095244	RSB
1324	7116721	RSB
1325	7123870	RSB
1326	7125231	RS 
1327	7118755	RS 
1328	7085129	RS 
1329	7043077	RS 
1330	7120534	RS 
1331	7008768	RS 
1332	7123272	RS 
1333	7105918	RS 
1334	7123139	RSB
1335	7118042	RS 
1336	7090186	RS 
1337	7124843	RSB
1338	7126965	RS 
1339	7126617	RSB
1340	7121069	RS 
1341	7115690	RS 
1342	7069872	RSB
1343	7110471	RS 
1344	7118133	RS 
1345	7115154	RSB
1346	7124161	RS 
1347	7116193	RSB
1348	7068840	RS 
1349	7093230	RSB
1350	7123004	RSB
1351	7116923	RS 
1352	7043502	RSB
1353	7122635	RS 
1354	7118757	RS 
1355	7123771	RS 
1356	7119959	RS 
1357	7125474	RS 
1358	7106477	RS 
1359	7104908	RS 
