	ID	OWNER
324	16310461	NON-PROFIT
325	16411203	GOVERNMENT - LOCAL
326	16611235	GOVERNMENT - LOCAL
327	16911209	NON-PROFIT
328	15210036	GOVERNMENT - LOCAL
329	17011215	NON-PROFIT
330	17910003	NON-PROFIT
331	18610032	NON-PROFIT
332	18810019	NON-PROFIT
333	19611373	GOVERNMENT - LOCAL
334	19711414	NON-PROFIT
335	14860942	NON-PROFIT
336	4761832	NON-PROFIT
337	10942101	NON-PROFIT
338	20311355	NON-PROFIT
339	185067037	NOT AVAILABLE
340	114511542	NON-PROFIT
341	2040484	NON-PROFIT
342	4942078	NON-PROFIT
343	115310802	NON-PROFIT
344	115411234	NON-PROFIT
345	115710605	NON-PROFIT
346	116710037	GOVERNMENT - LOCAL
347	116810035	NOT AVAILABLE
348	116910457	NON-PROFIT
349	117114810	NON-PROFIT
350	117412010	NON-PROFIT
351	117712180	NON-PROFIT
352	5060450	NON-PROFIT
353	10961104	NON-PROFIT
354	11361103	NON-PROFIT
355	118212901	NON-PROFIT
356	118510466	NON-PROFIT
357	1920910	NON-PROFIT
358	10560451	NON-PROFIT
359	13360440	NON-PROFIT
360	2520744	NON-PROFIT
361	118710025	NON-PROFIT
362	118810032	NON-PROFIT
363	118910021	NON-PROFIT
364	119511201	NON-PROFIT
365	119614420	NON-PROFIT
366	120114222	NON-PROFIT
367	120511501	GOVERNMENT - STATE
368	120614701	NON-PROFIT
369	121310703	NON-PROFIT
370	10314424	GOVERNMENT - FEDERAL
371	25710536	PROPRIETARY
372	25812866	PROPRIETARY
373	5842420	NON-PROFIT
374	13062864	PROPRIETARY
375	1360504	GOVERNMENT - LOCAL
376	10460134	NON-PROFIT
377	8460506	NON-PROFIT
378	440383	NON-PROFIT
379	10610468	GOVERNMENT - FEDERAL
380	8476825	NON-PROFIT
381	17677957	GOVERNMENT - DISTRICT/AUTHORITY
382	19176936	PROPRIETARY
383	10542718	GOVERNMENT - DISTRICT/AUTHORITY
384	39179346	GOVERNMENT - DISTRICT/AUTHORITY
385	4521502	NON-PROFIT
386	4621401	NON-PROFIT
387	1261856	NON-PROFIT
388	3561603	NON-PROFIT
389	14762363	NON-PROFIT
390	16674447	GOVERNMENT - FEDERAL
391	962301	NON-PROFIT
392	14573102	PROPRIETARY
393	10261603	NON-PROFIT
394	1760611	NON-PROFIT
395	1860130	PROPRIETARY
396	2560076	NON-PROFIT
397	3260304	NON-PROFIT
398	3460525	NON-PROFIT
399	460160	NON-PROFIT
400	57375494	NON-PROFIT
401	57677995	NON-PROFIT
402	4160644	NON-PROFIT
403	4360637	NON-PROFIT
404	137479007	PROPRIETARY
405	5560613	NON-PROFIT
406	6260612	GOVERNMENT - LOCAL
407	7660616	NON-PROFIT
408	8760805	NON-PROFIT
409	9060657	NON-PROFIT
410	9760609	NON-PROFIT
411	10160453	NON-PROFIT
412	10760068	NON-PROFIT
413	11860005	NON-PROFIT
414	11960007	NON-PROFIT
415	12360611	NON-PROFIT
416	12760169	NON-PROFIT
417	13160615	GOVERNMENT - LOCAL
418	8742642	GOVERNMENT - LOCAL
419	4125801	PROPRIETARY
420	8640456	NON-PROFIT
421	5821921	NON-PROFIT
422	140207	NON-PROFIT
423	4040202	PROPRIETARY
424	4440204	PROPRIETARY
425	7540205	NON-PROFIT
426	11740202	NON-PROFIT
427	7941240	PROPRIETARY
428	825438	NON-PROFIT
429	3625901	PROPRIETARY
430	3226147	NON-PROFIT
431	1825701	NON-PROFIT
432	4024740	GOVERNMENT - LOCAL
433	3725550	NON-PROFIT
434	1425130	GOVERNMENT - LOCAL
435	5824924	GOVERNMENT - LOCAL
436	3926537	NON-PROFIT
437	5026452	GOVERNMENT - STATE
438	188666160	NOT AVAILABLE
439	1726201	NON-PROFIT
440	2325401	NON-PROFIT
441	6326506	NON-PROFIT
442	1026038	NON-PROFIT
443	1562401	NON-PROFIT
444	5641056	PROPRIETARY
445	10041042	NON-PROFIT
446	8140977	NON-PROFIT
447	12061282	NON-PROFIT
448	12261201	NON-PROFIT
449	7262702	NON-PROFIT
450	2140422	NON-PROFIT
451	4661801	NON-PROFIT
452	171954801	NON-PROFIT
453	9740033	PROPRIETARY
454	6342345	NON-PROFIT
455	171613210	GOVERNMENT - STATE
456	742445	NON-PROFIT
457	10442141	NON-PROFIT
458	14174820	PROPRIETARY
459	10973737	GOVERNMENT - DISTRICT/AUTHORITY
460	1874578	GOVERNMENT - LOCAL
461	14662644	GOVERNMENT - DISTRICT/AUTHORITY
462	12042240	GOVERNMENT - STATE
463	8041501	NON-PROFIT
464	6973104	PROPRIETARY
465	2057567	NON-PROFIT
466	6474501	GOVERNMENT - LOCAL
467	3973134	PROPRIETARY
468	7961701	NON-PROFIT
469	3341701	NON-PROFIT
470	12341503	NON-PROFIT
471	6762526	NON-PROFIT
472	5660050	NON-PROFIT
473	6461761	NON-PROFIT
474	1903860	GOVERNMENT - LOCAL
475	803431	NON-PROFIT
476	1803561	NON-PROFIT
477	2903766	NON-PROFIT
478	3874344	NON-PROFIT
479	1703246	NON-PROFIT
480	6021613	NON-PROFIT
481	6373702	NON-PROFIT
482	4373521	GOVERNMENT - DISTRICT/AUTHORITY
483	11774462	PROPRIETARY
484	6160521	NON-PROFIT
485	9860126	NON-PROFIT
486	11560190	NON-PROFIT
487	12960139	NON-PROFIT
488	9773801	PROPRIETARY
489	189541018	LIMITED LIABILITY COMPANY
490	7973505	PROPRIETARY
491	13873505	GOVERNMENT - STATE
492	11074030	PROPRIETARY
493	8974074	GOVERNMENT - DISTRICT/AUTHORITY
494	1574743	GOVERNMENT - DISTRICT/AUTHORITY
495	3273069	PROPRIETARY
496	1174868	PROPRIETARY
497	774133	PROPRIETARY
498	874104	PROPRIETARY
499	2873401	NON-PROFIT
500	12373438	NON-PROFIT
501	15154904	NON-PROFIT
502	9653024	NON-PROFIT
503	13974136	NON-PROFIT
504	574017	PROPRIETARY
505	3073644	NON-PROFIT
506	9974467	GOVERNMENT - DISTRICT/AUTHORITY
507	6454143	NON-PROFIT
508	131274447	NOT AVAILABLE
509	14353066	NON-PROFIT
510	12353083	NON-PROFIT
511	5774133	NON-PROFIT
512	5973534	NON-PROFIT
513	131174820	NON-PROFIT
514	2673542	GOVERNMENT - DISTRICT/AUTHORITY
515	14737331	NON-PROFIT
516	603570	NON-PROFIT
517	2703584	NON-PROFIT
518	18262056	NON-PROFIT
519	15061462	NON-PROFIT
520	16161270	GOVERNMENT - DISTRICT/AUTHORITY
521	16562681	GOVERNMENT - DISTRICT/AUTHORITY
522	15462812	NON-PROFIT
523	15562960	GOVERNMENT - DISTRICT/AUTHORITY
524	15261944	NON-PROFIT
525	699669	NON-PROFIT
526	180830033	GOVERNMENT - FEDERAL
527	14030606	NON-PROFIT
528	1125801	NON-PROFIT
529	7642303	NON-PROFIT
530	1299701	NON-PROFIT
531	2499645	PROPRIETARY
532	2699686	GOVERNMENT - LOCAL
533	2299752	NON-PROFIT
534	1799835	NON-PROFIT
535	3438562	NON-PROFIT
536	8038401	GOVERNMENT - LOCAL
537	8338305	PROPRIETARY
538	5159405	PROPRIETARY
539	4382931	GOVERNMENT - STATE
540	6538242	GOVERNMENT - DISTRICT/AUTHORITY
541	10840330	NON-PROFIT
542	137830	NON-PROFIT
543	437367	GOVERNMENT - DISTRICT/AUTHORITY
544	14837371	PROPRIETARY
545	2237207	PROPRIETARY
546	7737402	PROPRIETARY
547	2737403	GOVERNMENT - DISTRICT/AUTHORITY
548	6037172	NON-PROFIT
549	637762	NON-PROFIT
550	10237604	NON-PROFIT
551	15937067	GOVERNMENT - LOCAL
552	182271306	NOT AVAILABLE
553	15137321	GOVERNMENT - LOCAL
554	6137130	NON-PROFIT
555	4037917	PROPRIETARY
556	11337620	NON-PROFIT
557	15237869	NON-PROFIT
558	11537660	NON-PROFIT
559	566839	GOVERNMENT - LOCAL
560	21210305	NON-PROFIT
561	2600731	PROPRIETARY
562	190270121	NOT AVAILABLE
563	4667005	GOVERNMENT - LOCAL
564	9366757	GOVERNMENT - LOCAL
565	1567530	PROPRIETARY
566	9666521	NON-PROFIT
567	184270605	NOT AVAILABLE
568	900605	NON-PROFIT
569	1500681	NON-PROFIT
570	1800683	NON-PROFIT
571	3300720	NOT AVAILABLE
572	3700737	NON-PROFIT
573	4400902	NON-PROFIT
574	600674	NOT AVAILABLE
575	4300922	NOT AVAILABLE
576	1177515	PROPRIETARY
577	2378705	NON-PROFIT
578	4176015	PROPRIETARY
579	4276020	NON-PROFIT
580	4677521	NON-PROFIT
581	6177401	NON-PROFIT
582	6277514	GOVERNMENT - LOCAL
583	6778758	NON-PROFIT
584	1762801	NON-PROFIT
585	5700919	NOT AVAILABLE
586	5400926	NON-PROFIT
587	81532026	NOT AVAILABLE
588	81632806	NOT AVAILABLE
589	82032514	NOT AVAILABLE
590	82633607	NON-PROFIT
591	17176448	GOVERNMENT - DISTRICT/AUTHORITY
592	19079938	PROPRIETARY
593	19475840	NON-PROFIT
594	19778114	GOVERNMENT - DISTRICT/AUTHORITY
595	21276104	PROPRIETARY
596	21475034	PROPRIETARY
597	21876240	GOVERNMENT - DISTRICT/AUTHORITY
598	22078624	NON-PROFIT
599	23075401	GOVERNMENT - DISTRICT/AUTHORITY
600	23178629	GOVERNMENT - DISTRICT/AUTHORITY
601	23376450	GOVERNMENT - LOCAL
602	23777964	GOVERNMENT - DISTRICT/AUTHORITY
603	25278861	GOVERNMENT - DISTRICT/AUTHORITY
604	26377030	NON-PROFIT
605	29877091	NON-PROFIT
606	31375951	NON-PROFIT
607	31576849	PROPRIETARY
608	31677494	NON-PROFIT
609	32478028	NON-PROFIT
610	32978640	NON-PROFIT
611	34179336	NON-PROFIT
612	34578643	NON-PROFIT
613	34875601	NON-PROFIT
614	37875070	PROPRIETARY
615	38978572	NON-PROFIT
616	39275455	GOVERNMENT - DISTRICT/AUTHORITY
617	39377058	NON-PROFIT
618	40375965	PROPRIETARY
619	96962002	NOT AVAILABLE
620	40679761	PROPRIETARY
621	41175801	PROPRIETARY
622	41275460	PROPRIETARY
623	34375563	NON-PROFIT
624	41479065	PROPRIETARY
625	41577504	PROPRIETARY
626	41777504	PROPRIETARY
627	41877505	PROPRIETARY
628	41979072	NON-PROFIT
629	42179772	GOVERNMENT - DISTRICT/AUTHORITY
630	42375093	NON-PROFIT
631	42878061	GOVERNMENT - DISTRICT/AUTHORITY
632	44175080	GOVERNMENT - DISTRICT/AUTHORITY
633	44377469	GOVERNMENT - DISTRICT/AUTHORITY
634	44878665	NON-PROFIT
635	45275088	PROPRIETARY
636	100460548	NON-PROFIT
637	46478224	PROPRIETARY
638	47778240	PROPRIETARY
639	47878258	PROPRIETARY
640	47978201	PROPRIETARY
641	102442431	PROPRIETARY
642	103020850	NON-PROFIT
643	48975092	NON-PROFIT
644	49677479	PROPRIETARY
645	51977380	NON-PROFIT
646	52377375	GOVERNMENT - DISTRICT/AUTHORITY
647	53275862	NON-PROFIT
648	54378801	GOVERNMENT - DISTRICT/AUTHORITY
649	55276702	NON-PROFIT
650	55977598	PROPRIETARY
651	56979096	GOVERNMENT - DISTRICT/AUTHORITY
652	57479567	GOVERNMENT - DISTRICT/AUTHORITY
653	59175204	PROPRIETARY
654	134475071	NON-PROFIT
655	136077094	NON-PROFIT
656	111287505	NON-PROFIT
657	137877030	NON-PROFIT
658	138177070	NON-PROFIT
659	59375381	PROPRIETARY
660	139575160	PROPRIETARY
661	139778613	PROPRIETARY
662	139878738	PROPRIETARY
663	51	NON-PROFIT
664	142076244	NON-PROFIT
665	44	NON-PROFIT
666	50	NON-PROFIT
667	53	NOT AVAILABLE
668	54	PROPRIETARY
669	71678224	PROPRIETARY
670	72477584	NON-PROFIT
671	72778654	NON-PROFIT
672	73275080	PROPRIETARY
673	117510021	NON-PROFIT
674	7879720	PROPRIETARY
675	73575075	PROPRIETARY
676	73778154	PROPRIETARY
677	73878130	PROPRIETARY
678	74275231	PROPRIETARY
679	123344484	PROPRIETARY
680	125744501	PROPRIETARY
681	125045863	PROPRIETARY
682	75475165	NON-PROFIT
683	75577479	PROPRIETARY
684	76177598	PROPRIETARY
685	13079731	PROPRIETARY
686	76577070	PROPRIETARY
687	76677004	NON-PROFIT
688	132897741	NON-PROFIT
689	78676458	PROPRIETARY
690	79578410	PROPRIETARY
691	80076932	GOVERNMENT - DISTRICT/AUTHORITY
692	80876177	PROPRIETARY
693	148224211	NON-PROFIT
694	155683702	NON-PROFIT
695	156083340	NON-PROFIT
696	157046032	NON-PROFIT
697	157146254	GOVERNMENT - LOCAL
698	22576048	PROPRIETARY
699	23576642	GOVERNMENT - DISTRICT/AUTHORITY
700	16	GOVERNMENT - FEDERAL
701	34479339	GOVERNMENT - LOCAL
702	58	GOVERNMENT - STATE
703	69	NOT AVAILABLE
704	44775032	PROPRIETARY
705	7864128	GOVERNMENT - FEDERAL
706	1173507	GOVERNMENT - FEDERAL
707	9268105	GOVERNMENT - FEDERAL
708	12078465	PROPRIETARY
709	28277065	PROPRIETARY
710	28677004	PROPRIETARY
711	30177338	PROPRIETARY
712	36678648	PROPRIETARY
713	41375460	NON-PROFIT
714	46878229	PROPRIETARY
715	49477479	PROPRIETARY
716	50077477	PROPRIETARY
717	55077904	PROPRIETARY
718	139976502	NON-PROFIT
719	14279720	GOVERNMENT - FEDERAL
720	38679706	PROPRIETARY
721	7453223	NON-PROFIT
722	15878550	GOVERNMENT - FEDERAL
723	45978205	PROPRIETARY
724	896731	GOVERNMENT - STATE
725	32677339	PROPRIETARY
726	35779408	NON-PROFIT
727	134078745	PROPRIETARY
728	135575115	PROPRIETARY
729	139479706	PROPRIETARY
730	72878550	PROPRIETARY
731	78078539	PROPRIETARY
732	79979106	PROPRIETARY
733	80275701	NON-PROFIT
734	82378626	PROPRIETARY
735	2196743	NON-PROFIT
736	8877802	NON-PROFIT
737	15175230	PROPRIETARY
738	20776102	PROPRIETARY
739	20876132	PROPRIETARY
740	30077338	PROPRIETARY
741	53675701	PROPRIETARY
742	55677598	PROPRIETARY
743	56576302	PROPRIETARY
744	135275022	PROPRIETARY
745	136475247	PROPRIETARY
746	142777904	PROPRIETARY
747	75379902	PROPRIETARY
748	75875020	PROPRIETARY
749	77978640	PROPRIETARY
750	82178041	PROPRIETARY
751	979124	PROPRIETARY
752	3278731	PROPRIETARY
753	4376017	PROPRIETARY
754	4476015	PROPRIETARY
755	25977030	GOVERNMENT - DISTRICT/AUTHORITY
756	35879416	PROPRIETARY
757	47478258	PROPRIETARY
758	59075226	PROPRIETARY
759	143178249	PROPRIETARY
760	41	NOT AVAILABLE
761	49	PROPRIETARY
762	76077521	PROPRIETARY
763	79879106	PROPRIETARY
764	10735007	PROPRIETARY
765	11036301	GOVERNMENT - DISTRICT/AUTHORITY
766	5136027	GOVERNMENT - DISTRICT/AUTHORITY
767	5536451	GOVERNMENT - DISTRICT/AUTHORITY
768	136502	NON-PROFIT
769	4735570	NON-PROFIT
770	3935601	PROPRIETARY
771	4935903	PROPRIETARY
772	2696826	NON-PROFIT
773	12751632	GOVERNMENT - STATE
774	11051502	NON-PROFIT
775	5183221	NON-PROFIT
776	5283404	NON-PROFIT
777	3183201	PROPRIETARY
778	98261231	NOT AVAILABLE
779	5860406	PROPRIETARY
780	99860622	NON-PROFIT
781	2260617	NON-PROFIT
782	1560016	NON-PROFIT
783	1160016	NON-PROFIT
784	16760033	NON-PROFIT
785	16692252	GOVERNMENT - DISTRICT/AUTHORITY
786	11692071	GOVERNMENT - LOCAL
787	2293423	GOVERNMENT - STATE
788	15895448	GOVERNMENT - DISTRICT/AUTHORITY
789	33993551	PROPRIETARY
790	38991773	PROPRIETARY
791	39191776	PROPRIETARY
792	28592585	GOVERNMENT - DISTRICT/AUTHORITY
793	38092503	GOVERNMENT - LOCAL
794	49395661	PROPRIETARY
795	13993720	PROPRIETARY
796	39693720	PROPRIETARY
797	17595542	GOVERNMENT - DISTRICT/AUTHORITY
798	27393546	GOVERNMENT - DISTRICT/AUTHORITY
799	5992669	PROPRIETARY
800	13392708	PROPRIETARY
801	46995355	PROPRIETARY
802	35493258	GOVERNMENT - STATE
803	12330078	PROPRIETARY
804	1330439	GOVERNMENT - DISTRICT/AUTHORITY
805	21230308	PROPRIETARY
806	1631024	GOVERNMENT - DISTRICT/AUTHORITY
807	11831768	GOVERNMENT - DISTRICT/AUTHORITY
808	10030417	GOVERNMENT - DISTRICT/AUTHORITY
809	20070001	PROPRIETARY
810	6331737	GOVERNMENT - DISTRICT/AUTHORITY
811	2330012	PROPRIETARY
812	6431830	GOVERNMENT - DISTRICT/AUTHORITY
813	8630434	GOVERNMENT - LOCAL
814	9731539	GOVERNMENT - DISTRICT/AUTHORITY
815	2830512	GOVERNMENT - DISTRICT/AUTHORITY
816	4930442	PROPRIETARY
817	156546202	NON-PROFIT
818	20170112	PROPRIETARY
819	19070737	PROPRIETARY
820	6970538	GOVERNMENT - DISTRICT/AUTHORITY
821	14770360	PROPRIETARY
822	1470548	GOVERNMENT - DISTRICT/AUTHORITY
823	18870071	GOVERNMENT - DISTRICT/AUTHORITY
824	8671220	PROPRIETARY
825	20670748	GOVERNMENT - STATE
826	6271254	GOVERNMENT - DISTRICT/AUTHORITY
827	15171111	PROPRIETARY
828	22271465	GOVERNMENT - DISTRICT/AUTHORITY
829	3371351	PROPRIETARY
830	11770433	PROPRIETARY
